ORDERING
delivery date		fecha de entrega
give a discount		tiene descuento
goods			bienes
invoice			facturar
out of stock		sin stock
payment date		día de pago
price			precio
price per unit		precio por unidad
quality			calidad
quantity		cantidad
subtotal		subtotal
VAT			IVA


PAYMENTS
account			cuenta
cash			efectivo
charge it		cobrado
cheque			cheque
credit card		tarjeta de crédito
postage and handling	gastos de envío y manipulación
shipping		envío


ADJECTIVES
all-in-one		todo en uno
built-in		integrado
compact			compactado
complicated		complicado
dependable		fiable
ergonomic		ergonomico
flexible		flexible
high-resolution		alta resolución o definición
portable		portable, portátil
powerful		potente
practical		práctico
reliable		confiable
secure			seguro
simple			simple
slimline		fino
sturdy			robusto
superfast		rapidísimo
top-of-the-range	tope de gama
user-friendly		usable
wide screen		ancho de pantalla


EXTRA!
accesible		accesible
compatible		compatible
convenient		practico
delivery fee		precio del envío
place an order		hacer un pedido
reduction		reducción
shortage		escasez
sophisticated		sofisticado
spare parts		partes sueltas
special offer		oferta especial
specialised		especializado
stocktaking		inventario
supply chain		cadena de suministro
warehouse		almacén
































